":@computed_region_5kre_ccpb",":@computed_region_gwq4_fjxs",":@computed_region_s6p5_2pgr","address","crossstreet","direction","intersection","location_1","location_1_address","location_1_city","location_1_state","location_1_zip","street"
"252","63","27295","GARRISON BLVD & WABASH AVE","Wabash Ave","E/B","Garrison 
 & Wabash Ave","POINT (-76.683117 39.341209)",,,,,"Garrison 
"
"179","108","13645","HILLEN ST & FORREST ST","Forrest St","W/B","Hillen 
 & Forrest St","POINT (-76.605532 39.29686)",,,,,"Hillen 
"
"213","75","27950","EDMONDSON AVE & N ATHOL AVE","Woodbridge Ave","E/B","Edmonson
  & Woodbridge Ave","POINT (-76.689391 39.293453)",,,,,"Edmonson
"
"37","270","14009","YORK RD & GITTINGS AVE","Gitting Ave","S/B","York Rd 
 & Gitting Ave","POINT (-76.609812 39.370493)",,,,,"York Rd 
"
"250","178","27953","RUSSELL ST & W HAMBURG ST","Hamburg St","S/B","Russell
  & Hamburg St","POINT (-76.623911 39.279819)",,,,,"Russell
"
"11","168","27953","S MARTIN LUTHER KING JR BLVD & W PRATT ST","Pratt St","S/B","MLK Jr. Blvd 
 & Pratt St","POINT (-76.627846 39.286027)",,,,,"MLK Jr. Blvd 
"
"141","123","27935","ORLEANS ST & N LINWOOD AVE","Linwood Ave","E/B","Orleans   & Linwood Ave","POINT (-76.576427 39.295866)",,,,,"Orleans"
"116","271","14009","E NORTHERN PKWY & SPRINGLAKE WAY","Springlake Way","W/B","Northern Pkwy
  & Springlake Way","POINT (-76.617699 39.364311)",,,,,"Northern Pkwy
"
"214","236","14004","W COLD SPRING LN & ROLAND AVE","Roland Ave","E/B","Cold Spring
  & Roland Ave","POINT (-76.635426 39.343906)",,,,,"Cold Spring
"
"132","257","14009","E NORTHERN PKWY & YORK RD","York Road","W/B","Northern Pkwy
  & York Road","POINT (-76.609922 39.365146)",,,,,"Northern Pkwy
"
"235","272","14009","N CHARLES ST & E LAKE AVE","Lake Ave","S/B","Charles & Lake Ave","POINT (-76.625827 39.369054)",,,,,"Charles"
"65","6","13642","W FAYETTE ST & N LIBERTY ST","Liberty Heights Ave","W/B","Fayette
  & Liberty Heights Ave","POINT (-76.617661 39.290504)",,,,,"Fayette
"
"168","251","27295","W NORTHERN PKWY & GREENSPRING AVE","Greenspring Ave","W/B","Northern Pkwy  & Greenspring Ave","POINT (-76.660506 39.355161)",,,,,"Northern Pkwy"
"213","75","27950","EDMONDSON AVE & N ATHOL AVE","Woodbridge Ave","W/B","Edmonson 
 & Woodbridge Ave","POINT (-76.689399 39.293593)",,,,,"Edmonson 
"
"210","16","27301","MOUNT ROYAL TER & W NORTH AVE","North","S/B","Mt Royal
 & North","POINT (-76.625126 39.310871)",,,,,"Mt Royal
"
"64","259","28564","E NORTHERN PKWY & WAVERLY WAY","Waverly St","W/B","Northern Pkwy  & Waverly St","POINT (-76.581074 39.367052)",,,,,"Northern Pkwy"
"203","140","28559","PULASKI HWY & MORAVIA PARK DR","Moravia Park Drive","W/B","
Pulaski Hwy 
 & Moravia Park Drive","POINT (-76.532366 39.308644)",,,,,"
Pulaski Hwy 
"
"203","140","28559","PULASKI HWY & NORTH POINT RD","North Point Blvd","E/B","Pulaski 
 & North Point Blvd","POINT (-76.53958 39.304328)",,,,,"Pulaski 
"
"120","269","28564","LOCH RAVEN BLVD & WALKER AVE","Walker Ave","N/B","Loch Raven
  & Walker Ave","POINT (-76.58318 39.37006)",,,,,"Loch Raven
"
"42","251","14001","TAMARIND RD & W COLD SPRING LN","Coldspring Lane","E/B","Tamarind
  & Coldspring Lane","POINT (-76.651941 39.343899)",,,,,"Tamarind
"
"65","6","13645","E LOMBARD ST & S GAY ST","Gay St","W/B","Lombard 
 & Gay St","POINT (-76.608748 39.287766)",,,,,"Lombard 
"
"241","3","13645","LIGHT ST & E PRATT ST","Pratt St","S/B","Light SB 
 & Pratt St","POINT (-76.613549 39.286542)",,,,,"Light SB 
"
"21","103","27301","W MOUNT ROYAL AVE & W NORTH AVE","North","N/B","Mt Royal
 & North","POINT (-76.62473 39.310767)",,,,,"Mt Royal
"
"26","142","27937","E PATAPSCO AVE & 4TH ST","4th St","W/B","Patapsco  
 & 4th St","POINT (-76.605404 39.237269)",,,,,"Patapsco  
"
"104","37","27939","FORT SMALLWOOD RD & FORT ARMISTEAD RD","Fort Armstead","S/B","Ft Smallwood
  & Fort Armstead","POINT (-76.555977 39.199913)",,,,,"Ft Smallwood
"
"118","289","13995","LIBERTY HTS & HILLSDALE RD","Hillsdale Ave","W/B","Liberty Hghts
  & Hillsdale Ave","POINT (-76.69451 39.330445)",,,,,"Liberty Hghts
"
"103","46","27297","LIBERTY HEIGHTS AVE & N DUKELAND ST","Dukeland St","E/B","Liberty Hghts
  & Dukeland St","POINT (-76.666634 39.322639)",,,,,"Liberty Hghts
"
"164","45","27297","GWYNNS FLS & GARRISON BLVD","Garrison Blvd","W/B","Gwynns Falls 
  & Garrison Blvd","POINT (-76.676225 39.313579)",,,,,"Gwynns Falls 
"
"32","178","27953","RUSSELL ST & BAYARD ST","Bayard St","S/B","Russell 
 & Bayard St","POINT (-76.628739 39.273468)",,,,,"Russell 
"
"65","6","13645","N PRESIDENT ST & E FAYETTE ST","Fayette St","S/B","President  & Fayette St","POINT (-76.606665 39.290624)",,,,,"President"
"26","144","27937","POTEE ST & TALBOTT ST","Talbot","S/B","Potee
  & Talbot","POINT (-76.612211 39.236486)",,,,,"Potee
"
"6","145","13987","ERDMAN AVE & N MACON ST","Macon St","W/B","Erdman  & Macon St","POINT (-76.559312 39.306967)",,,,,"Erdman"
"181","140","13987","PULASKI HWY & E MONUMENT ST","Monument St","E/B","Pulaski Hwy 
  & Monument St","POINT (-76.554251 39.299798)",,,,,"Pulaski Hwy 
"
"187","72","27295","PARK HEIGHTS AVE & VIOLET AVE","Voilet Ave","N/B","Park Heights  & Voilet Ave","POINT (-76.65975 39.330713)",,,,,"Park Heights"
"158","190","27291","HARFORD RD & WALTHER AVE","Walther Ave","S/B","Harford  & Walther Ave","POINT (-76.575185 39.335308)",,,,,"Harford"
"269","76","27950","EDMONDSON AVE & N HILTON ST","Hilton St","E/B","Edmonson  & Hilton St","POINT (-76.67276 39.294061)",,,,,"Edmonson"
"197","77","27632","W FRANKLIN ST & N FRANKLINTOWN RD","Franklintown Road","E/B","Franklin 
  & Franklintown Road","POINT (-76.662362 39.293086)",,,,,"Franklin 
"
"194","1","27953","S MARTIN LUTHER KING JR BLVD & WASHINGTON BLVD","Washington Blvd","N/B","MLK Jr. Blvd.  & Washington Blvd","POINT (-76.626114 39.28346)",,,,,"MLK Jr. Blvd."
"217","264","13991","WALTHER AVE & GLENMORE AVE","Glenmore","N/B","Walther 
 & Glenmore","POINT (-76.542494 39.35354)",,,,,"Walther 
"
"111","187","27307","HILLEN RD & ARGONNE DR","Argonne Drive","S/B","Hillen Rd  & Argonne Drive","POINT (-76.588021 39.339991)",,,,,"Hillen Rd"
"73","193","26956","HARFORD RD & E NORTH AVE","North Ave","N/B","Harford Rd
  & North Ave","POINT (-76.599358 39.311936)",,,,,"Harford Rd
"
"173","212","27307","E COLD SPRING LN & LOCH RAVEN BLVD","Loch Raven Blvd","W/B","Cold Spring
  & Loch Raven Blvd","POINT (-76.592008 39.346045)",,,,,"Cold Spring
"
"225","279","27632","FREDERICK AVE & S CATHERINE ST","Catherine Ave","E/B","Fredrick Ave
 & Catherine Ave","POINT (-76.655929 39.283394)",,,,,"Fredrick Ave
"
"200","244","27295","PARK HEIGHTS AVE & HAYWARD AVE","Hayward Ave","S/B","Park Heights   & Hayward Ave","POINT (-76.678871 39.34992)",,,,,"Park Heights"
"48","60","27295","REISTERSTOWN RD & FALLSTAFF RD","Fallstaff Road","S/B","Reisterstown   & Fallstaff Road","POINT (-76.710243 39.362135)",,,,,"Reisterstown"
"227","173","27953","S HANOVER ST & E CROMWELL ST","Cromwell St","S/B"," &","POINT (-76.614587 39.26206)",,,,,"Hanover 
"
"119","280","27950","EDMONDSON AVE & COOKS LN","Cooks Lane","E/B","Edmonson  & Cooks Lane","POINT (-76.701706 39.292368)",,,,,"Edmonson"
"200","244","27295","PARK HEIGHTS AVE & HAYWARD AVE","Hayward Ave","N/B","Park Heights   & Hayward Ave","POINT (-76.678871 39.34992)",,,,,"Park Heights"
"139","150","26956","SINCLAIR LN & SHANNON DR","Shannon Drive","W/B","Sinclair 
 & Shannon Drive","POINT (-76.555674 39.317503)",,,,,"Sinclair 
"
"118","289","13995","LIBERTY HTS & HILLSDALE RD","Hillsdale Ave","E/B","Liberty Hghts
  & Hillsdale Ave","POINT (-76.69451 39.330445)",,,,,"Liberty Hghts
"
"153","80","27632","W FRANKLIN ST & N PULASKI ST","Pulaski St","W/B","Franklin  & Pulaski St","POINT (-76.650384 39.293708)",,,,,"Franklin"
"89","60","27295","REISTERSTOWN RD & PATTERSON AVE","Patterson Ave","E/B","Reistertown 
  & Patterson Ave","POINT (-76.702521 39.356182)",,,,,"Reistertown 
"
"165","6","13642","W FRANKLIN ST & CATHEDRAL ST","Cathedral","W/B","Franklin 
 & Cathedral","POINT (-76.616872 39.295066)",,,,,"Franklin 
"
"46","207","13991","SINCLAIR LN & MORAVIA RD","Moravia Road","W/B","Sinclair  & Moravia Road","POINT (-76.548453 39.322036)",,,,,"Sinclair"
"174","266","27957","HARFORD RD & ROSALIE AVE","Rosalie Ave","N/B","Harford
  & Rosalie Ave","POINT (-76.547818 39.368065)",,,,,"Harford
"
"179","108","13645","ORLEANS ST & N GAY ST","Gay St","E/B","Orleans  & Gay St","POINT (-76.606128 39.29472)",,,,,"Orleans"
"139","150","26956","SINCLAIR LN & SHANNON DR","Shannon Drive","E/B","Sinclair
  & Shannon Drive","POINT (-76.555674 39.317503)",,,,,"Sinclair
"
"252","63","27295","WABASH AVE & W BELVEDERE AVE","Belvedere Ave","E/B","Wabash 
 & Belvedere Ave","POINT (-76.685043 39.341671)",,,,,"Wabash 
"
"256","261","27291","HARFORD RD & CHRISTOPHER AVE","Christopher Ave","N/B","Harford 
 & Christopher Ave","POINT (-76.556247 39.358333)",,,,,"Harford 
"
"143","146","27937","S HANOVER & REEDBIRD AVE","Reedbird Ave","N/B","Hanover 
 & Reedbird Ave","POINT (-76.613749 39.24988)",,,,,"Hanover 
"
"268","166","27944","S CATON AVE & BENSON AVE","Benson Ave","S/B","Caton Ave & Benson Ave","POINT (-76.66897 39.269316)",,,,,"Caton Ave"
"161","222","28570","E COLD SPRING LN & HILLEN RD","Hillen Road","W/B","Cold Spring  & Hillen Road","POINT (-76.585927 39.345907)",,,,,"Cold Spring"
"228","1","27953","RUSSELL ST & W HAMBURG ST","Hamburg St","N/B","Russell 
 & Hamburg St","POINT (-76.623754 39.279786)",,,,,"Russell 
"
"126","135","27935","EASTERN AVE & KANE ST","Kane St","E/B","Eastern  & Kane St","POINT (-76.537102 39.287763)",,,,,"Eastern"
"77","180","27307","E 33RD ST & THE ALAMEDA","The Alameda","E/B","E 33rd  & The Alameda","POINT (-76.595359 39.328341)",,,,,"E 33rd"
"44","160","27307","W NORTH AVE & N HOWARD ST","Howard St","W/B","North Ave  & Howard St","POINT (-76.619307 39.311087)",,,,,"North Ave"
"187","40","27295","REISTERSTOWN RD & DRUID PARK DR","Druid Lake Drive","S/B","Reistertown Rd
  & Druid Lake Drive","POINT (-76.657711 39.325287)",,,,,"Reistertown Rd
"
"164","45","27297","GWYNNS FLS & GARRISON BLVD","Garrison Blvd","E/B","Gwynns Falls 
  & Garrison Blvd","POINT (-76.676225 39.313579)",,,,,"Gwynns Falls 
"
"77","186","27307","THE ALAMEDA & E 33RD ST","33rd St","S/B","The Alameda  & 33rd St","POINT (-76.595355 39.328501)",,,,,"The Alameda"
"88","127","13987","E MADISON ST & N CAROLINE ST","Caroline St","W/B","Madison  & Caroline St","POINT (-76.597676 39.299326)",,,,,"Madison"
"42","251","27295","W NORTHERN PKWY & GREENSPRING AVE","Greenspring Ave","E/B","Northern Pkwy   & Greenspring Ave","POINT (-76.660459 39.355024)",,,,,"Northern Pkwy"
"6","145","13987","ERDMAN AVE & N MACON ST","Macon St","E/B","Erdman  & Macon St","POINT (-76.559317 39.306805)",,,,,"Erdman"
"100","164","27632","WILKENS AVE & DESOTO RD","DeSoto","E/B","Wilkens  & DeSoto","POINT (-76.668163 39.274904)",,,,,"Wilkens"
